ERROR:root: id=19054抓取user时发生错误2016-05-10 23:26:05 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/853323
ERROR:root: id=5168抓取user时发生错误2016-05-10 23:26:05 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/311070
ERROR:root: id=34034抓取user时发生错误2016-05-10 23:26:05 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1403544
ERROR:root: id=142抓取user时发生错误2016-05-10 23:26:05 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/110818
ERROR:root: id=28058抓取user时发生错误2016-05-10 23:26:05 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1170719
ERROR:root: id=1152抓取user时发生错误2016-05-10 23:26:06 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/151777
ERROR:root: id=22054抓取user时发生错误2016-05-10 23:26:06 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/970752
ERROR:root: id=13153抓取user时发生错误2016-05-10 23:26:06 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/616736
ERROR:root: id=3153抓取user时发生错误2016-05-10 23:26:06 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/229262
ERROR:root: id=31032抓取user时发生错误2016-05-10 23:26:06 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1279249
ERROR:root: id=26053抓取user时发生错误2016-05-10 23:26:07 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1102682
ERROR:root: id=10149抓取user时发生错误2016-05-10 23:26:07 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/510906
ERROR:root: id=39036抓取user时发生错误2016-05-10 23:26:07 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1633664
ERROR:root: id=23059抓取user时发生错误2016-05-10 23:26:07 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1008644
ERROR:root: id=7158抓取user时发生错误2016-05-10 23:26:09 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385371
ERROR:root: id=25057抓取user时发生错误2016-05-10 23:26:09 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1071046
ERROR:root: id=33036抓取user时发生错误2016-05-10 23:26:10 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1358634
ERROR:root: id=26054抓取user时发生错误2016-05-10 23:26:10 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1102688
ERROR:root: id=11158抓取user时发生错误2016-05-10 23:26:11 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/541691
ERROR:root: id=6149抓取user时发生错误2016-05-10 23:26:11 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/346363
ERROR:root: id=29043抓取user时发生错误2016-05-10 23:26:11 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1206481
ERROR:root: id=4159抓取user时发生错误2016-05-10 23:26:12 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/269324
ERROR:root: id=9149抓取user时发生错误2016-05-10 23:26:12 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473213
ERROR:root: id=21060抓取user时发生错误2016-05-10 23:26:12 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/933043
ERROR:root: id=36036抓取user时发生错误2016-05-10 23:26:13 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1491130
ERROR:root: id=30032抓取user时发生错误2016-05-10 23:26:13 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1239133
ERROR:root: id=24059抓取user时发生错误2016-05-10 23:26:14 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1040702
ERROR:root: id=37034抓取user时发生错误2016-05-10 23:26:14 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1539495
ERROR:root: id=29044抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1206487
ERROR:root: id=26055抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1102693
ERROR:root: id=9150抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473219
ERROR:root: id=23060抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1008759
ERROR:root: id=36037抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1491152
ERROR:root: id=11159抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/541717
ERROR:root: id=28059抓取user时发生错误2016-05-10 23:26:17 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1170730
ERROR:root: id=7159抓取user时发生错误2016-05-10 23:26:18 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385403
ERROR:root: id=35032抓取user时发生错误2016-05-10 23:26:18 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1444638
ERROR:root: id=21061抓取user时发生错误2016-05-10 23:26:18 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/933064
ERROR:root: id=12150抓取user时发生错误2016-05-10 23:26:18 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/578325
ERROR:root: id=32037抓取user时发生错误2016-05-10 23:26:19 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1316474
ERROR:root: id=14131抓取user时发生错误2016-05-10 23:26:19 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/656813
ERROR:root: id=143抓取user时发生错误2016-05-10 23:26:19 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/110844
